"y1970" "y2000"
"4761" 76400 309900
"1098" 60000 194500
"4331" 80000 345700
"1750" 65800 292400
"6151" 77600 215100
"3788" 86500 427600
"1876" 75500 307000
"4926" 61800 242100
"6311" 49300 132400
"4411" 56300 240600
"3537" 65000 387900
"4099" 79600 360500
"4957" 71100 276800
"3483" 55100 184900
"1539" 75400 341200
"2722" 49100 186800
"6030" 52100 148400
"6680" 59800 141900
"2055" 69300 294100
"2109" 47500 140600
"4600" 70200 292300
"6299" 53000 142700
"1085" 58800 252700
"5927" 66700 193800
"6197" 50700 139200
"6416" 53600 140100
"4627" 76400 316600
"6093" 50600 142200
"6230" 83500 227500
"4637" 59600 246600
"5277" 62300 217400
"98" 139400 622400
"3802" 117300 575000
"1699" 73600 336100
"5053" 88600 335700
"720" 58600 170500
"1263" 71800 308000
"2005" 46100 159900
"5773" 64700 194200
"3090" 95000 449700
"120" 84000 339500
"3247" 52000 132600
"2566" 24700 55800
"4706" 67400 275700
"5366" 73000 245800
"1314" 76900 386200
"1069" 76500 351900
"2567" 118700 531200
"821" 54900 162200
"1979" 118900 570000
"386" 30400 75900
"5345" 55700 189000
"3591" 93100 511100
"4120" 114600 516600
"3767" 70000 348900
"2353" 42400 159300
"3508" 82300 310200
"6702" 89700 210400
"5544" 89700 285600
"3489" 65900 266300
"2921" 104000 460500
"4820" 82700 332200
"5247" 73500 259600
"6808" 24600 51600
"1326" 61400 168900
"5683" 93900 288400
"2361" 59900 260600
"543" 67000 215000
"6518" 75100 190800
"6190" 45500 125100
"4560" 75900 317700
"50" 49100 135600
"1052" 61200 171200
"1336" 125100 427400
"4556" 86200 361100
"3317" 60000 161100
"2351" 44100 133200
"6688" 55100 130200
"2950" 56700 148500
"1433" 50600 155500
"5008" 64500 247700
"3626" 139100 745400
"6337" 20300 54200
"3398" 112000 430600
"1657" 52700 159100
"3382" 66700 143100
"3598" 70200 383100
"6577" 30400 75900
"3213" 105900 513400
"929" 60600 270700
"4397" 116600 499400
"602" 66100 259200
"4262" 90700 397600
"5701" 99700 305100
"4591" 66500 277400
"1644" 76800 307200
"3971" 83500 389800
"1034" 61900 191200
"4454" 70000 297100
"268" 25200 56500
"5282" 66100 229900
"6662" 53000 126900
"5543" 51300 163400
"1373" 77800 216200
"387" 91000 481600
"4221" 78400 345900
"3731" 90100 456900
"695" 97800 454200
"207" 57900 167300
"6347" 67100 178700
"3013" 97000 396600
"5997" 52700 151100
"537" 102700 298700
"4017" 85600 394900
"1947" 81000 332100
"651" 76000 316400
"6181" 61200 168600
"5848" 51500 152200
"4754" 91100 370000
"4069" 66000 300900
"3043" 106600 491500
"4457" 71600 303800
"2636" 63600 225900
"85" 55600 164300
"4247" 70200 308400
"3068" 97600 413200
"6111" 47000 131400
"2576" 70200 283000
"4933" 106700 417200
"5459" 73600 240400
"1280" 88400 480400
"2586" 67700 221100
"6743" 24600 55800
"4628" 67400 279200
"5185" 87700 316900
"3732" 89800 455300
"4495" 77600 327800
"5641" 36800 114000
"650" 74000 315200
"6359" 58300 154700
"4779" 84800 342900
"2703" 72400 256400
"5336" 59400 202200
"5676" 46300 142500
"5031" 69500 265100
"3024" 121700 705900
"1114" 51200 221700
"6624" 65800 160600
"6663" 65200 156100
"6195" 59400 163100
