corso matricola sesso provincia anno tipo diploma votomat base votolau lode
E63 488882 F VE 1988 N "*MATURITA'TECNICACOMMERCIALE"  44  60  88 NL
E63 494772 M TV 1989 N "*PERITOINDUSTRIALE"  44  60  93 NL
E64 495079 M TV 1990 N "*MATURITA'TECNICACOMMERCIALE"  57  60  86 NL
E63 498234 M TV 1990 N "*MATURITA'TECNICACOMMERCIALE"  42  60  83 NL
E65 500804 F VE 1991 N "*MATURITA'TECNICACOMMERCIALE"  40  60  83 NL
E64 477945 M TV 1986 N "*MATURITA'PROFESSIONALE"  47  60  88 NL
E64 478679 F PD 1986 N "*MATURITA'SCIENTIFICA"  42  60  84 NL
E64 479055 M VE 1986 N "*MATURITA'D'ARTEAPPLICATA(*)"  40  60  81 NL
E62 481910 F VE 1987 N "*MATURITA'PROFESSIONALEPERILCOMMERCIO"  45  60  91 NL
E63 482284 M TV 1987 N "*MATURITA'TECNICACOMMERCIALE"  43  60  80 NL
E63 488882 F VE 1988 N "*MATURITA'TECNICACOMMERCIALE"  44  60  88 NL
E63 494772 M TV 1989 N "*PERITOINDUSTRIALE"  44  60  93 NL
E64 495079 M TV 1990 N "*MATURITA'TECNICACOMMERCIALE"  57  60  86 NL
E63 498234 M TV 1990 N "*MATURITA'TECNICACOMMERCIALE"  42  60  83 NL
E65 500804 F VE 1991 N "*MATURITA'TECNICACOMMERCIALE"  40  60  83 NL
E61 508760 F TV 1993 N "*LICENZALINGUISTICA"  38  60  84 NL
E66 514594 F TV 1994 N "MATURITA'PROFESS.ALBERGHIERA"  45  60  86 NL
E71 515121 M TV 1994 N "*MATURITA'TECNICACOMMERCIALE"  39  60  85 NL
E61 516499 M TV 1995 N "MATURITA'PROFESS.ALBERGHIERA"  52  60  98 NL
E63 516599 F TV 1995 N "*MATURITA'TECNICACOMMERCIALE"  52  60  92 NL
E63 517030 F BL 1995 N "*MATURITA'TECNICACOMMERCIALE"  58  60  83 NL
E69 518677 F TV 1995 N "*MATURITA'TECNICACOMMERCIALE"  48  60  84 NL
E65 520253 M VE 1996 N "*MATURITA'TECNICACOMMERCIALE"  42  60  86 NL
E71 520511 M TV 1996 N "*MATURITA'SCIENTIFICA"  36  60  93 NL
E61 520630 F TV 1996 N "*MATURITA'TECNICACOMMERCIALE"  52  60  95 NL
E61 521045 M TV 1996 N "*MATURITA'TECNICACOMMERCIALE"  39  60  81 NL
E69 521132 F VI 1996 N "*MATURITA'SCIENTIFICA"  47  60 110 L
E65 522173 F VI 1996 N "*MATURITA'SCIENTIFICA"  36  60  81 NL
E63 522370 M TV 1996 N "*MATURITA'TECNICACOMMERCIALE"  41  60  88 NL
E64 522890 M VE 1996 N "*MATURITA'TECNICACOMMERCIALE"  46  60  81 NL
E65 522951 M VE 1996 N "*MATURITA'PROFESSIONALEPERILCOMMERCIO"  53  60  92 NL
E63 522999 M TV 1996 T "*MATURITA'SCIENTIFICA"  40  60  93 NL
E65 523696 M VI 1997 N "*MATURITA'TECNICACOMMERCIALE"  46  60  92 NL
E61 523723 F TV 1997 N "*MATURITA'TECNICAPERILTURISMO"  52  60  85 NL
E71 523871 M VE 1997 N "*MATURITA'TECNICACOMMERCIALE"  50  60  81 NL
E71 523881 F TV 1997 N "*MATURITA'TECNICACOMMERCIALE"  42  60  91 NL
E71 523882 F TV 1997 N "*MATURITA'TECNICACOMMERCIALE"  37  60  91 NL
E61 523900 F VI 1997 N "*MATURITA'PROFESSIONALE"  55  60  95 NL
E71 524053 M TV 1997 N "*MATURITA'SCIENTIFICA"  36  60  98 NL
E64 524229 F VE 1997 N "*MATURITA'TECNICAPERILTURISMO"  60  60 100 NL
E67 524409 M TV 1997 N "*MATURITA'TECNICACOMMERCIALE"  46  60  92 NL
E65 524687 M PD 1997 N "*MATURITA'SCIENTIFICA"  52  60  97 NL
E69 525377 M VE 1997 N "*MATURITA'SCIENTIFICA"  40  60  81 NL
E63 525475 M VE 1997 N "*MATURITA'TECNICACOMMERCIALE"  48  60  83 NL
E69 525537 M PD 1997 N "*MATURITA'SCIENTIFICA"  40  60  85 NL
E72 525738 F VE 1997 N "*MATURITA'TECNICACOMMERCIALE"  36  60 100 NL
E61 526993 F TV 1998 N "*MATURITA'TECNICACOMMERCIALE"  54  60  96 NL
E61 527030 F TV 1998 N "*MATURITA'SCIENTIFICA"  52  60  91 NL
